28	1
26	1
146	4
28	1
31	1
34	1
77	2
29	1
31	1
37	1
79	2
62	2
29	1
62	2
35	1
36	1
30	1
35	1
27	1
38	1
30	1
39	1
69	2
31	1
83	2
31	1
30	1
30	1
37	1
36	1
29	1
36	1
25	1
144	2
30	1
34	1
31	1
80	2
26	1
79	2
34	1
76	2
78	2
35	1
37	1
36	1
32	1
153	4
34	1
39	1
86	2
50	1
31	1
37	1
24	1
38	1
31	1
34	1
36	1
25	1
26	1
29	1
30	1
33	1
33	1
28	1
31	1
123	2
23	1
36	1
38	1
32	1
36	1
94	2
36	1
34	1
28	1
34	1
25	1
25	1
36	1
35	1
89	2
140	4
30	1
40	1
35	1
33	1
33	1
31	1
83	2
26	1
75	2
45	1
124	2
34	1
27	1
37	1
27	1
33	1
164	5
32	1
87	2
40	1
33	1
28	1
27	1
27	1
35	1
26	1
9031	1
